pixel	correction
598	1.01606
599	1.002645
600	1.005298
601	1.010378
602	1.006232
603	1.001646
604	1.013393
605	1.01446
606	1.008405
607	1.006921
608	1.023764
609	1.025097
610	1.019202
611	1.016968
612	0.999083
613	0.988242
614	0.998268
615	0.988048
616	1.001403
617	1.018787
618	1.010985
619	1.010544
620	1.004446
621	1.007085
622	1.00629
623	1.009754
624	1.003076
625	1.000255
626	1.005843
627	1.002615
628	1.008411
629	1.01009
630	1.005045
631	1.00691
632	1.016723
633	1.012237
634	1.014008
635	1.009147
636	1.023369
637	1.020074
638	1.018282
639	1.01552
640	1.028408
641	1.024842
642	1.034926
643	1.029961
644	1.027747
645	1.017027
646	1.011355
647	1.021146
648	1.032274
649	1.030912
650	1.035095
651	1.037717
652	1.026756
653	1.01487
654	1.018279
655	1.030028
656	1.009978
657	1.018992
658	1.00823
659	1.001382
660	1.026196
661	1.018248
662	1.019571
663	1.027672
664	0.999095
665	0.996733
666	0.997353
667	1.00299
668	1.00585
669	1.012513
670	1.00316
671	1.009669
672	1.015826
673	1.015963
674	1.001394
675	1.000307
676	0.998538
677	1.007736
678	1.009575
679	0.998068
680	0.999644
681	1.014792
682	1.000586
683	1.011916
684	1.009275
685	1.008493
686	0.997685
687	0.998398
688	1.003401
689	1.001832
690	1.004914
691	1.004693
692	1.003938
693	1.001113
694	1.006694
695	1.007792
696	1.010762
697	1.007258
698	1.006193
699	1.005066
700	1.015448
701	1.013859
702	1.004157
703	1.006747
704	0.980224
705	0.981211
706	0.976295
707	0.977896
708	0.977422
709	0.981533
710	0.983961
711	0.981087
712	0.978129
713	0.980714
714	0.982882
715	0.978105
716	0.985845
717	0.989338
718	0.984393
719	0.980181
720	0.994221
721	0.990929
722	0.99321
723	0.995097
724	0.984445
725	0.991976
726	0.988716
727	0.987866
728	0.999392
729	0.997962
730	0.996243
731	0.996695
732	0.998767
733	0.993495
734	0.999719
735	0.995736
736	0.978768
737	0.979131
738	0.97791
739	0.97853
740	0.97845
741	0.977011
742	0.975328
743	0.980048
744	0.982163
745	0.980005
746	0.980401
747	0.982406
748	0.974402
749	0.975475
750	0.976886
751	0.976791
752	0.995177
753	0.996388
754	0.990665
755	0.992766
756	0.984799
757	0.979532
758	0.986332
759	0.979704
760	0.991195
761	0.990067
762	0.997211
763	0.99575
764	0.981498
765	0.985736
766	0.979847
767	0.984328
768	0.983133
769	0.986032
770	0.9829
771	0.987086
772	0.98097
773	0.979604
774	0.978982
775	0.980998
776	0.985353
777	0.981229
778	0.980671
779	0.982033
780	0.979905
781	0.97795
782	0.979151
783	0.980557
784	0.978292
785	0.979118
786	0.976868
787	0.97675
788	0.976455
789	0.976996
790	0.972764
791	0.978948
792	0.975412
793	0.97731
794	0.977376
795	0.977231
796	0.969386
797	0.970689
798	0.972351
799	0.974833
800	0.990358
801	0.982156
802	0.98367
803	0.995198
804	1.001197
805	0.994502
806	1.000093
807	0.994441
808	0.992617
809	0.993083
810	0.998568
811	0.989502
812	0.997836
813	0.98846
814	0.997989
815	0.985955
816	0.968395
817	0.971673
818	0.964671
819	0.969748
820	0.964648
821	0.972407
822	0.970773
823	0.977569
824	0.966184
825	0.963471
826	0.967388
827	0.96689
828	0.972953
829	0.967218
830	0.970822
831	0.963482
832	0.983222
833	0.980854
834	0.98552
835	0.98326
836	0.986733
837	0.986874
838	0.985747
839	0.984849
840	0.981819
841	0.976815
842	0.978783
843	0.983936
844	0.980315
845	0.981446
846	0.985353
847	0.985116
848	0.972091
849	0.975065
850	0.97717
851	0.974531
852	0.971165
853	0.969828
854	0.967786
855	0.973078
856	0.97183
857	0.973761
858	0.973898
859	0.971776
860	0.968053
861	0.967367
862	0.96982
863	0.969532
864	0.979303
865	0.97462
866	0.97242
867	0.976935
868	0.976905
869	0.975194
870	0.976199
871	0.97529
872	0.976382
873	0.980651
874	0.978401
875	0.978365
876	0.97408
877	0.969701
878	0.975115
879	0.970593
880	0.970807
881	0.973548
882	0.966918
883	0.968918
884	0.964755
885	0.966193
886	0.96554
887	0.965914
888	0.965895
889	0.965725
890	0.967292
891	0.968283
892	0.969322
893	0.966134
894	0.967557
895	0.965048
896	0.972355
897	0.974348
898	0.971795
899	0.974495
900	0.970049
901	0.969976
902	0.971716
903	0.971328
904	0.977598
905	0.981916
906	0.977118
907	0.973777
908	0.973552
909	0.971948
910	0.969961
911	0.970944
912	0.982137
913	0.977399
914	0.976174
915	0.982287
916	0.985732
917	0.98397
918	0.988515
919	0.980645
920	0.993395
921	0.996483
922	0.989368
923	0.987544
924	0.993458
925	0.990875
926	0.991506
927	0.987462
928	0.981531
929	0.986847
930	0.990483
931	0.984685
932	0.98235
933	0.983441
934	0.983838
935	0.981565
936	0.979408
937	0.97752
938	0.980314
939	0.976854
940	0.986365
941	0.989986
942	0.986201
943	0.99143
944	1.004406
945	1.001228
946	1.002823
947	0.999385
948	1.000154
949	0.996355
950	0.996835
951	0.993664
952	0.99681
953	1.00191
954	0.998609
